Metal,Name,Qty,Type,Weight(oz),Purchase Price,Spot Price ($/oz),Premium ($/oz),Total Premium,Purchase Location,Storage Location,Notes,Date,Collectable
Silver,2024 American Silver Eagle,1,Coin,1,43.00,32.00,11.00,11.00,apmex.com,Home Safe,First Eagle of the year,2024-07-12,No
Silver,2024 Canada Maple Leaf,1,Coin,1,42.50,32.00,10.50,10.50,jmbullion.com,Bank Box A,Beautiful design,2024-07-13,No
Silver,2023 Australia Kookaburra,1,Coin,1,44.50,32.00,12.50,12.50,herobullion.com,Vault Drawer 1,Limited mintage,2024-07-10,No
Silver,2022 UK Britannia,1,Coin,1,41.50,32.00,9.50,9.50,monumentmetals.com,Home Safe,Classic design,2024-07-14,No
Silver,2023 Silver Buffalo Round,2,Round,1,34.25,32.00,2.25,4.50,summitmetals.com,Vault Drawer 2,Good premium,2024-07-08,No
Silver,2021 Niue Sonic the Hedgehog,1,Coin,1,54.00,32.00,22.00,22.00,apmex.com,Bank Box B,Collectible gaming coin,2024-07-05,Yes
Silver,2024 Germania Round,1,Round,1,50.00,32.00,18.00,18.00,monumentmetals.com,Closet Safe,Unique design,2024-07-11,Yes
Silver,2023 Lunar Dragon Bar,1,Bar,1,48.00,32.00,16.00,16.00,apmex.com,Vault Drawer 1,Year of the Dragon,2024-07-09,No
Silver,2022 Fiji Coca-Cola Bottle Cap,1,Coin,0.5,39.99,16.00,47.98,23.99,apmex.com,Display Case,Fun novelty coin,2024-07-03,Yes
Silver,2022 1oz Tuvalu Black Flag The Rising Sun,1,Coin,1,65.00,32.00,33.00,33.00,apmex.com,Bank Box A,Pirate themed,2024-07-02,Yes
Gold,2024 American Gold Eagle 1 oz,1,Coin,1,2500.00,2380.00,120.00,120.00,apmex.com,Bank Box A,Government mint,2024-07-11,No
Gold,2024 Canada Maple Leaf 1/10 oz,1,Coin,0.1,265.00,238.00,270.00,27.00,herobullion.com,Home Safe,Small denomination,2024-07-05,No
Gold,2022 South Africa Krugerrand 1/4 oz,1,Coin,0.25,620.00,595.00,100.00,25.00,jmbullion.com,Bank Box B,Classic Krugerrand,2024-07-04,No
Gold,2023 Australia Kangaroo 1 oz,1,Coin,1,2480.00,2380.00,100.00,100.00,apmex.com,Bank Box A,Perth Mint quality,2024-07-01,No
Gold,1 Gram PAMP Suisse Bar,1,Bar,0.03215,87.00,76.00,342.00,11.00,apmex.com,Closet Safe,Tiny but genuine,2024-07-02,No
Platinum,2024 American Platinum Eagle 1 oz,1,Coin,1,1100.00,950.00,150.00,150.00,apmex.com,Bank Box B,US Mint quality,2024-07-10,No
Platinum,2023 Canada Maple Leaf 1 oz,1,Coin,1,1095.00,950.00,145.00,145.00,apmex.com,Bank Box A,RCM premium,2024-07-10,No
Platinum,2022 PAMP Suisse Bar 1 oz,1,Bar,1,1080.00,950.00,130.00,130.00,monumentmetals.com,Vault Drawer 3,Swiss quality,2024-07-12,No
Platinum,2021 Australia Platypus,1,Coin,1,1110.00,950.00,160.00,160.00,herobullion.com,Home Safe,Unique Australian,2024-07-07,No
Palladium,2017 American Palladium Eagle 1 oz,1,Coin,1,1400.00,1170.00,230.00,230.00,jmbullion.com,Bank Box B,First year issue,2024-07-08,No
Palladium,2024 Canadian Maple Leaf 1 oz,1,Coin,1,1395.00,1170.00,225.00,225.00,apmex.com,Vault Drawer 3,Latest year,2024-07-09,No
Palladium,1 oz PAMP Suisse Bar,1,Bar,1,1380.00,1170.00,210.00,210.00,silvergoldbull.com,Bank Box A,Reliable refiner,2024-07-06,No
Silver,2021 10 oz Royal Canadian Mint Bar,1,Bar,10,370.00,320.00,5.00,50.00,bullionexchanges.com,Vault Drawer 4,Large bar format,2024-07-08,No
Silver,2024 2 oz Niue Star Wars Mandalorian,1,Coin,2,190.00,64.00,63.00,126.00,apmex.com,Display Case,Star Wars collectible,2024-07-04,Yes
Gold,2024 1/20 oz Perth Mint Lunar Dragon,1,Coin,0.05,145.00,119.00,520.00,2.60,apmex.com,Display Case,Tiny lunar coin,2024-07-01,Yes
Platinum,2023 1/10 oz Valcambi Bar,1,Bar,0.1,130.00,95.00,350.00,3.50,apmex.com,Closet Safe,Fractional platinum,2024-07-13,No
Palladium,2023 1/2 oz Baird & Co. Bar,1,Bar,0.5,700.00,585.00,230.00,115.00,apmex.com,Home Safe,London refinery,2024-07-14,No